nodedef> name VARCHAR,label VARCHAR,width DOUBLE,height DOUBLE,x DOUBLE,y DOUBLE

5288127053314_5288127053314,5288127053314,NaN,NaN,0.44084105,0.51049536
5288127541d73_5288127541d73,5288127541d73,NaN,NaN,0.42799595,0.5276047
528812757d662_528812757d662,528812757d662,NaN,NaN,0.4284328,0.51701766
5288126e09112_5288126e09112,5288126e09112,NaN,NaN,0.5520761,0.61716104
528812715e98b_528812715e98b,528812715e98b,NaN,NaN,0.5465332,0.6214821
5288127222be8_5288127222be8,5288127222be8,NaN,NaN,0.5454436,0.61482954
52881272d5e85_52881272d5e85,52881272d5e85,NaN,NaN,0.553171,0.6238427
5288126c9025f_5288126c9025f,5288126c9025f,NaN,NaN,0.38792983,0.477286
5288126cf3bc8_5288126cf3bc8,5288126cf3bc8,NaN,NaN,0.39580858,0.48000893
5288126e042fc_5288126e042fc,5288126e042fc,NaN,NaN,0.41028017,0.47712204
5288126e92433_5288126e92433,5288126e92433,NaN,NaN,0.42454162,0.4543512
5288126ec19dc_5288126ec19dc,5288126ec19dc,NaN,NaN,0.39811656,0.46084383
5288126f713ea_5288126f713ea,5288126f713ea,NaN,NaN,0.41838413,0.47929832
5288126f7bfc1_5288126f7bfc1,5288126f7bfc1,NaN,NaN,0.43069503,0.45748743
5288127016a52_5288127016a52,5288127016a52,NaN,NaN,0.39429882,0.4717908
528812705e669_528812705e669,528812705e669,NaN,NaN,0.41487,0.46441492
52881270a6e57_52881270a6e57,52881270a6e57,NaN,NaN,0.4024414,0.4752245
52881271c2ac6_52881271c2ac6,52881271c2ac6,NaN,NaN,0.40351823,0.48293594
52881272285bd_52881272285bd,52881272285bd,NaN,NaN,0.41148466,0.48486736
5288127308d27_5288127308d27,5288127308d27,NaN,NaN,0.42479008,0.4616186
528812736b6f5_528812736b6f5,528812736b6f5,NaN,NaN,0.40125722,0.46771297
52881273d1f3f_52881273d1f3f,52881273d1f3f,NaN,NaN,0.4166561,0.47184318
5288127418e1e_5288127418e1e,5288127418e1e,NaN,NaN,0.40883887,0.46946692
528812757807a_528812757807a,528812757807a,NaN,NaN,0.40654716,0.46191815
5288126c706c8_5288126c706c8,5288126c706c8,NaN,NaN,0.075941674,0.44013095
5288126c94c8f_5288126c94c8f,5288126c94c8f,NaN,NaN,0.0781273,0.4477586
5288126ce4dc0_5288126ce4dc0,5288126ce4dc0,NaN,NaN,0.07635543,0.4629265
5288126d5351c_5288126d5351c,5288126d5351c,NaN,NaN,0.09367151,0.42265114
5288126d9d869_5288126d9d869,5288126d9d869,NaN,NaN,0.09120157,0.4668657
5288126da2a64_5288126da2a64,5288126da2a64,NaN,NaN,0.07636941,0.45515445
5288126db7273_5288126db7273,5288126db7273,NaN,NaN,0.09382723,0.4395607
5288126dc60af_5288126dc60af,5288126dc60af,NaN,NaN,0.082942605,0.47014973
5288126dd9d05_5288126dd9d05,5288126dd9d05,NaN,NaN,0.0862402,0.434925
5288126e543f5_5288126e543f5,5288126e543f5,NaN,NaN,0.08455985,0.4527092
5288126ed1b5e_5288126ed1b5e,5288126ed1b5e,NaN,NaN,0.099604465,0.4540327
5288126edc732_5288126edc732,5288126edc732,NaN,NaN,0.09843799,0.46911475
5288126fb0b56_5288126fb0b56,5288126fb0b56,NaN,NaN,0.10081575,0.42581096
52881270219f3_52881270219f3,52881270219f3,NaN,NaN,0.07027507,0.44810307
52881270c8189_52881270c8189,52881270c8189,NaN,NaN,0.10253929,0.434271
52881270eea99_52881270eea99,52881270eea99,NaN,NaN,0.107376084,0.4289305
