Source;Target
0;3
1;22
2;54
3;74
4;119
5;178
6;189
7;204
8;231
9;241
10;265
11;323
12;325
13;329
14;346
0;4
1;49
2;87
3;89
4;94
5;101
6;119
7;166
8;168
9;198
10;205
11;209
12;268
13;295
14;301
15;335
0;8
1;34
2;42
3;66
4;104
5;106
6;122
7;135
8;181
9;208
10;216
11;218
12;250
0;0
1;13
2;18
3;20
4;22
5;47
6;50
7;51
8;52
9;54
10;55
11;73
12;74
13;88
14;105
15;109
16;119
17;141
18;149
19;167
20;177
21;178
22;189
23;204
24;231
25;237
26;240
27;241
28;242
29;244
30;255
31;257
32;263
33;277
34;283
35;305
36;310
37;314
38;323
39;325
40;329
41;346
42;349
43;379
0;1
1;49
2;86
3;87
4;89
5;94
6;119
7;168
8;198
9;205
10;209
11;268
12;301
13;306
14;316
15;335
16;375
17;378
0;59
0;38
1;81
2;129
3;265
4;370
5;373
0;38
0;2
1;16
2;23
3;31
4;34
5;42
6;44
7;46
8;63
9;66
10;80
11;107
12;122
13;126
14;134
15;154
16;169
17;181
18;187
19;194
20;208
21;216
22;218
23;249
24;250
25;271
26;362
0;40
1;46
2;90
3;106
4;122
5;124
6;134
7;172
8;179
9;181
10;194
11;216
12;218
13;250
14;276
15;326
16;362
0;21
1;240
2;299
0;19
1;20
2;22
3;26
4;47
5;51
6;54
7;73
8;74
9;86
10;90
11;93
12;120
13;123
14;133
15;151
16;152
17;157
18;165
19;167
20;176
21;178
22;189
23;196
24;199
25;204
26;222
27;234
28;236
29;237
30;240
31;242
32;244
33;245
34;255
35;257
36;266
37;277
38;290
39;310
40;323
41;325
42;330
0;30
1;44
2;46
3;78
4;84
5;85
6;102
7;104
8;106
9;107
10;122
11;126
12;128
13;134
14;135
15;164
16;169
17;172
18;179
19;180
20;181
21;208
22;216
23;218
24;250
25;261
26;271
27;292
28;293
29;326
30;362
0;3
1;18
2;26
3;54
4;71
5;83
6;88
7;90
8;93
9;100
10;105
11;119
12;141
13;142
14;151
15;152
16;157
17;167
18;176
19;184
20;196
21;215
22;222
23;237
24;240
25;241
26;242
27;244
28;245
29;257
30;277
31;305
32;323
33;330
34;349
35;351
0;86
0;8
1;28
2;34
3;39
4;42
5;44
